repo,module,category,parent_module,energy,view
flask,blinker,external,flask.app,72892.69599027542,nested
flask,traceback,stdlib,flask.app,90961.85673380444,nested
flask,textwrap,stdlib,flask.app,56935.46693742268,nested
flask,linecache,stdlib,flask.app,44581.98390367057,nested
flask,functools,stdlib,flask.app,49078.0434307197,nested
flask,logging,stdlib,flask.app,60718.5804714339,nested
flask,contextlib,stdlib,flask.app,56470.40798668472,nested
flask,urllib,stdlib,flask.app,55099.4992723357,nested
flask,weakref,stdlib,flask.app,50188.00858140361,nested
flask,inspect,stdlib,flask.app,48708.54160059164,nested
flask,encodings,stdlib,flask.app,49507.078032577054,nested
flask,tokenize,stdlib,flask.app,38379.88365535082,nested
flask,flask.app,internal,,27570.174594783002,flat
flask,flask.signals,internal,,404833.94965385715,nested
flask,blinker,external,flask.signals,56512.578702298364,nested
flask,fnmatch,stdlib,flask.signals,54209.90031950252,nested
flask,pathlib,stdlib,flask.signals,59451.00090228443,nested
flask,functools,stdlib,flask.signals,44808.80658201786,nested
flask,_pytest,external,flask.signals,52247.69928701622,nested
flask,typing,stdlib,flask.signals,52422.51509537198,nested
flask,pluggy,external,flask.signals,45941.19726118076,nested
flask,contextlib,stdlib,flask.signals,37404.834547809674,nested
flask,flask.signals,internal,,1835.4169563753746,flat
flask,flask.cli,internal,,1486754.762244431,nested
flask,click,external,flask.cli,76720.12796260876,nested
flask,gettext,stdlib,flask.cli,57674.05331140868,nested
